,date,LocalTime,Air.Temperature_hourly.mean,Air.Pressure_hourly.mean,Solar.Voltage_hourly.mean,Relative.Humidity_hourly.mean
1,01/09/2019 16:00,01/09/2019 11:00,20.62,1019,0.49,38.91
2,04/09/2019 22:00,04/09/2019 17:00,23.79,786,0.63,63.45
3,05/09/2019 16:00,05/09/2019 11:00,33.06,866.43,4.16,42.61
4,05/09/2019 17:00,05/09/2019 12:00,36.64,865,5.98,37.05
5,05/09/2019 18:00,05/09/2019 13:00,37.43,863.83,5.96,32.89
6,05/09/2019 19:00,05/09/2019 14:00,33.49,863,6.56,36.01
7,05/09/2019 20:00,05/09/2019 15:00,26.17,862.5,6.77,51.93
8,05/09/2019 21:00,05/09/2019 16:00,25.74,862.67,6.07,49.26
9,05/09/2019 22:00,05/09/2019 17:00,23.55,863.33,5.5,53.3
10,05/09/2019 23:00,05/09/2019 18:00,22.39,864.17,1.41,57.15
11,06/09/2019 00:00,05/09/2019 19:00,22.18,865,0.01,56.97
12,06/09/2019 01:00,05/09/2019 20:00,22.15,865,0.03,57.33
13,06/09/2019 02:00,05/09/2019 21:00,21.49,866,0.01,59.71
14,06/09/2019 03:00,05/09/2019 22:00,21.27,866,0.01,59.98
15,06/09/2019 04:00,05/09/2019 23:00,21.27,866,0.01,59.43
16,06/09/2019 05:00,06/09/2019 00:00,21.79,866,0.01,58.23
17,06/09/2019 06:00,06/09/2019 01:00,21.34,865.33,0.01,59.19
18,06/09/2019 07:00,06/09/2019 02:00,20.42,864,0,62.24
19,06/09/2019 08:00,06/09/2019 03:00,19.9,865,0.03,65.48
20,06/09/2019 09:00,06/09/2019 04:00,20,865.67,0.01,66.38
21,06/09/2019 10:00,06/09/2019 05:00,20.43,866,0.24,67.32
22,06/09/2019 11:00,06/09/2019 06:00,20.43,866.83,5.11,68.61
23,06/09/2019 12:00,06/09/2019 07:00,20.2,867.83,5.99,70.1
24,06/09/2019 13:00,06/09/2019 08:00,19.61,868.5,6,74.62
25,06/09/2019 14:00,06/09/2019 09:00,21.04,869,6.32,72.58
26,06/09/2019 15:00,06/09/2019 10:00,25.32,868.17,6.48,60.32
27,06/09/2019 16:00,06/09/2019 11:00,30.08,867.33,6.82,48.75
28,06/09/2019 17:00,06/09/2019 12:00,32.55,865.67,6.79,42.89
29,06/09/2019 18:00,06/09/2019 13:00,35.09,864.5,6.72,36.37
