"","date","LocalTime","Air.Temperature_hourly.mean","Air.Pressure_hourly.mean","Solar.Voltage_hourly.mean","Relative.Humidity_hourly.mean"
"1",2019-09-01 16:00:00,2019-09-01 11:00:00,20.62,1019,0.49,38.91
"2",2019-09-04 22:00:00,2019-09-04 17:00:00,23.79,786,0.63,63.45
"3",2019-09-05 16:00:00,2019-09-05 11:00:00,33.06,866.43,4.16,42.61
"4",2019-09-05 17:00:00,2019-09-05 12:00:00,36.64,865,5.98,37.05
"5",2019-09-05 18:00:00,2019-09-05 13:00:00,37.43,863.83,5.96,32.89
"6",2019-09-05 19:00:00,2019-09-05 14:00:00,33.49,863,6.56,36.01
"7",2019-09-05 20:00:00,2019-09-05 15:00:00,26.17,862.5,6.77,51.93
"8",2019-09-05 21:00:00,2019-09-05 16:00:00,25.74,862.67,6.07,49.26
"9",2019-09-05 22:00:00,2019-09-05 17:00:00,23.55,863.33,5.5,53.3
"10",2019-09-05 23:00:00,2019-09-05 18:00:00,22.39,864.17,1.41,57.15
"11",2019-09-06 00:00:00,2019-09-05 19:00:00,22.18,865,0.01,56.97
"12",2019-09-06 01:00:00,2019-09-05 20:00:00,22.15,865,0.03,57.33
"13",2019-09-06 02:00:00,2019-09-05 21:00:00,21.49,866,0.01,59.71
"14",2019-09-06 03:00:00,2019-09-05 22:00:00,21.27,866,0.01,59.98
"15",2019-09-06 04:00:00,2019-09-05 23:00:00,21.27,866,0.01,59.43
"16",2019-09-06 05:00:00,2019-09-06 00:00:00,21.79,866,0.01,58.23
"17",2019-09-06 06:00:00,2019-09-06 01:00:00,21.34,865.33,0.01,59.19
"18",2019-09-06 07:00:00,2019-09-06 02:00:00,20.42,864,0,62.24
"19",2019-09-06 08:00:00,2019-09-06 03:00:00,19.9,865,0.03,65.48
"20",2019-09-06 09:00:00,2019-09-06 04:00:00,20,865.67,0.01,66.38
"21",2019-09-06 10:00:00,2019-09-06 05:00:00,20.43,866,0.24,67.32
"22",2019-09-06 11:00:00,2019-09-06 06:00:00,20.43,866.83,5.11,68.61
"23",2019-09-06 12:00:00,2019-09-06 07:00:00,20.2,867.83,5.99,70.1
