"","date","LocalTime","Air.Temperature_hourly.mean","Air.Pressure_hourly.mean","Solar.Voltage_hourly.mean","Relative.Humidity_hourly.mean"
"1",2019-08-31 11:00:00,2019-08-31 06:00:00,22.37,1010,5.92,57.35
"2",2019-09-01 18:00:00,2019-09-01 13:00:00,22.14,1019,0.54,38.42
"3",2019-09-06 17:00:00,2019-09-06 12:00:00,33.33,861,6.3,36.08
"4",2019-09-06 18:00:00,2019-09-06 13:00:00,35.28,860.67,5.95,33.06
"5",2019-09-06 19:00:00,2019-09-06 14:00:00,31.43,859.6,5.94,38.38
"6",2019-09-06 20:00:00,2019-09-06 15:00:00,28.77,859,6.71,43.06
"7",2019-09-06 21:00:00,2019-09-06 16:00:00,26.53,859,6.61,50.35
"8",2019-09-06 22:00:00,2019-09-06 17:00:00,26.28,859,6.25,50.5
"9",2019-09-06 23:00:00,2019-09-06 18:00:00,23.39,859.5,3.62,54.47
"10",2019-09-07 00:00:00,2019-09-06 19:00:00,21.32,860,0.04,63.06
"11",2019-09-07 01:00:00,2019-09-06 20:00:00,20.52,860.67,0.01,64.43
"12",2019-09-07 02:00:00,2019-09-06 21:00:00,20.32,861.5,0.01,63.69
"13",2019-09-07 03:00:00,2019-09-06 22:00:00,20.09,862,0.01,64.28
"14",2019-09-07 04:00:00,2019-09-06 23:00:00,19.64,862,0.01,66.69
"15",2019-09-07 05:00:00,2019-09-07 00:00:00,19.2,862,0.01,68.48
"16",2019-09-07 06:00:00,2019-09-07 01:00:00,18.79,861.5,0.01,70.35
"17",2019-09-07 07:00:00,2019-09-07 02:00:00,18.47,861,0.02,72.9
"18",2019-09-07 08:00:00,2019-09-07 03:00:00,18.07,861,0.01,74.75
"19",2019-09-07 09:00:00,2019-09-07 04:00:00,17.83,861,0.01,76.14
"20",2019-09-07 10:00:00,2019-09-07 05:00:00,17.39,861,0.02,77.93
"21",2019-09-07 11:00:00,2019-09-07 06:00:00,16.93,861.67,3.45,80.39
"22",2019-09-07 12:00:00,2019-09-07 07:00:00,20.38,862.33,5.97,72.14
"23",2019-09-07 13:00:00,2019-09-07 08:00:00,25.79,863,6.47,56.52
"24",2019-09-07 14:00:00,2019-09-07 09:00:00,30.29,862.83,6.54,46.33
"25",2019-09-07 15:00:00,2019-09-07 10:00:00,34.67,862.17,6.51,37.52
"26",2019-09-07 16:00:00,2019-09-07 11:00:00,36.98,861.5,6.38,32.58
"27",2019-09-07 17:00:00,2019-09-07 12:00:00,35.81,860.33,6.37,33.03
"28",2019-09-07 18:00:00,2019-09-07 13:00:00,35.71,859.17,6.51,32.82
"29",2019-09-07 19:00:00,2019-09-07 14:00:00,35.03,858.17,6.55,33.66
"30",2019-09-07 20:00:00,2019-09-07 15:00:00,35.83,857.83,6.47,30.65
"31",2019-09-07 21:00:00,2019-09-07 16:00:00,32.26,857,6.45,34.31
"32",2019-09-07 22:00:00,2019-09-07 17:00:00,30.26,857,6.32,36.24
"33",2019-09-07 23:00:00,2019-09-07 18:00:00,27.78,858,5.11,42.02
"34",2019-09-08 00:00:00,2019-09-07 19:00:00,25.24,859,0.03,44.53
"35",2019-09-08 01:00:00,2019-09-07 20:00:00,25.27,859.8,0.02,42.54
"36",2019-09-08 02:00:00,2019-09-07 21:00:00,23.55,860.5,0.02,45.59
"37",2019-09-08 03:00:00,2019-09-07 22:00:00,21.98,861.33,0.03,50.09
"38",2019-09-08 04:00:00,2019-09-07 23:00:00,21.06,862,0.02,57.07
"39",2019-09-08 05:00:00,2019-09-08 00:00:00,21.06,862,0.02,58.33
"40",2019-09-08 06:00:00,2019-09-08 01:00:00,20.41,862,0.01,59.95
"41",2019-09-08 07:00:00,2019-09-08 02:00:00,19.84,862,0.01,61.63
"42",2019-09-08 08:00:00,2019-09-08 03:00:00,19.59,862,0.01,62.08
"43",2019-09-08 09:00:00,2019-09-08 04:00:00,19.25,862,0.01,64.49
"44",2019-09-08 10:00:00,2019-09-08 05:00:00,19.19,862,0.01,64.24
"45",2019-09-08 11:00:00,2019-09-08 06:00:00,19.14,862.44,3.06,67.56
"46",2019-09-08 12:00:00,2019-09-08 07:00:00,19.75,863.4,5.98,66.24
"47",2019-09-08 13:00:00,2019-09-08 08:00:00,23.5,864,6.21,62.34
"48",2019-09-08 14:00:00,2019-09-08 09:00:00,28.9,864,6.24,48.22
"49",2019-09-08 15:00:00,2019-09-08 10:00:00,32.26,864,6.28,40.46
"50",2019-09-08 16:00:00,2019-09-08 11:00:00,32.98,862,6.73,35.75
"51",2019-09-08 17:00:00,2019-09-08 12:00:00,34.48,861.67,6.6,33.82
"52",2019-09-08 18:00:00,2019-09-08 13:00:00,36.27,860.5,6.61,30.06
"53",2019-09-08 19:00:00,2019-09-08 14:00:00,34.68,859.17,6.67,29.34
"54",2019-09-08 20:00:00,2019-09-08 15:00:00,33.44,859,6.58,29.15
"55",2019-09-08 21:00:00,2019-09-08 16:00:00,29.32,858,5.99,33.16
"56",2019-09-08 22:00:00,2019-09-08 17:00:00,27.28,858,5.79,36.22
"57",2019-09-08 23:00:00,2019-09-08 18:00:00,25.11,858.8,3.83,40.76
"58",2019-09-09 00:00:00,2019-09-08 19:00:00,23.26,860,0.02,46.52
"59",2019-09-09 01:00:00,2019-09-08 20:00:00,22.79,861,0.02,46.92
"60",2019-09-09 02:00:00,2019-09-08 21:00:00,23.08,861.5,0.03,47.5
