"","date","LocalTime","Air.Temperature_hourly.mean","Air.Pressure_hourly.mean","Solar.Voltage_hourly.mean","Relative.Humidity_hourly.mean"
"1",2019-08-31 09:00:00,2019-08-31 04:00:00,23.37,1011.67,0.6,56.36
"2",2019-09-01 16:00:00,2019-09-01 11:00:00,20.75,1019,0.42,35.14
"3",2019-09-04 02:00:00,2019-09-03 21:00:00,22.94,787,0.5,43.84
"4",2019-09-04 15:00:00,2019-09-04 10:00:00,28.35,836,4.64,50.77
"5",2019-09-04 16:00:00,2019-09-04 11:00:00,27.97,835.4,5.91,52.05
"6",2019-09-04 17:00:00,2019-09-04 12:00:00,30.44,834.5,5.9,45.22
"7",2019-09-04 18:00:00,2019-09-04 13:00:00,29.5,833.83,6.2,46.39
"8",2019-09-04 19:00:00,2019-09-04 14:00:00,29.87,833,6.81,43.82
"9",2019-09-04 20:00:00,2019-09-04 15:00:00,28.88,832.5,6.75,45.11
"10",2019-09-04 21:00:00,2019-09-04 16:00:00,27.88,832,6.72,47.23
"11",2019-09-04 22:00:00,2019-09-04 17:00:00,25.45,832.83,6.27,52.99
"12",2019-09-04 23:00:00,2019-09-04 18:00:00,21.52,833.33,1.44,61.62
"13",2019-09-05 00:00:00,2019-09-04 19:00:00,20.28,834,0.02,64.6
"14",2019-09-05 01:00:00,2019-09-04 20:00:00,20.76,835,0.01,61.15
"15",2019-09-05 02:00:00,2019-09-04 21:00:00,20.47,835,0.02,60.28
"16",2019-09-05 03:00:00,2019-09-04 22:00:00,20.07,835.5,0.01,61.82
"17",2019-09-05 04:00:00,2019-09-04 23:00:00,20.25,836,0.01,63.47
"18",2019-09-05 05:00:00,2019-09-05 00:00:00,19.75,836,0.01,66.03
"19",2019-09-05 06:00:00,2019-09-05 01:00:00,19.04,835.33,0.01,69.78
"20",2019-09-05 07:00:00,2019-09-05 02:00:00,18.5,835,0.01,72.14
"21",2019-09-05 08:00:00,2019-09-05 03:00:00,17.57,835,0.02,76.07
"22",2019-09-05 09:00:00,2019-09-05 04:00:00,17.3,835.67,0.01,77.85
"23",2019-09-05 10:00:00,2019-09-05 05:00:00,16.9,836,1.15,80.18
"24",2019-09-05 11:00:00,2019-09-05 06:00:00,17.72,836.17,6.32,79.42
"25",2019-09-05 12:00:00,2019-09-05 07:00:00,19.1,837,6.52,76.65
"26",2019-09-05 13:00:00,2019-09-05 08:00:00,20.41,837,6.65,73.34
"27",2019-09-05 14:00:00,2019-09-05 09:00:00,23.61,837.17,6.81,63.86
"28",2019-09-05 15:00:00,2019-09-05 10:00:00,25.39,837,6.77,59.66
"29",2019-09-05 16:00:00,2019-09-05 11:00:00,27.11,836.67,6.77,52.78
"30",2019-09-05 17:00:00,2019-09-05 12:00:00,29.75,835.33,6.64,49.26
"31",2019-09-05 18:00:00,2019-09-05 13:00:00,33.73,834.17,6.43,41.52
"32",2019-09-05 19:00:00,2019-09-05 14:00:00,31.04,833.17,6.63,42.44
"33",2019-09-05 20:00:00,2019-09-05 15:00:00,32.37,833,6.67,39.93
"34",2019-09-05 21:00:00,2019-09-05 16:00:00,28.33,833,6.08,45.2
"35",2019-09-05 22:00:00,2019-09-05 17:00:00,23.73,833.17,5.46,54.13
"36",2019-09-05 23:00:00,2019-09-05 18:00:00,22.25,834,1.18,55.06
"37",2019-09-06 00:00:00,2019-09-05 19:00:00,21.27,835,0.01,55.52
"38",2019-09-06 01:00:00,2019-09-05 20:00:00,20.86,835,0.02,56.77
"39",2019-09-06 02:00:00,2019-09-05 21:00:00,20.15,835.67,0.01,59.87
"40",2019-09-06 03:00:00,2019-09-05 22:00:00,19.36,836,0.01,63.38
"41",2019-09-06 04:00:00,2019-09-05 23:00:00,19.16,836,0.01,65.13
"42",2019-09-06 05:00:00,2019-09-06 00:00:00,19.25,836,0.01,65.31
"43",2019-09-06 06:00:00,2019-09-06 01:00:00,18.78,834.83,0.01,67.05
"44",2019-09-06 07:00:00,2019-09-06 02:00:00,18.8,834,0.01,67.42
"45",2019-09-06 08:00:00,2019-09-06 03:00:00,18.47,834.83,0.01,71.16
"46",2019-09-06 09:00:00,2019-09-06 04:00:00,18.52,835.5,0.01,70.92
"47",2019-09-06 10:00:00,2019-09-06 05:00:00,18.33,836,0.38,76.58
"48",2019-09-06 11:00:00,2019-09-06 06:00:00,17.85,836.67,4.93,80.41
"49",2019-09-06 12:00:00,2019-09-06 07:00:00,18.2,837.67,5.8,80.04
"50",2019-09-06 13:00:00,2019-09-06 08:00:00,18.62,838,5.93,79.7
"51",2019-09-06 14:00:00,2019-09-06 09:00:00,20.39,838,5.91,76.41
"52",2019-09-06 15:00:00,2019-09-06 10:00:00,23.25,838,5.92,66
"53",2019-09-06 16:00:00,2019-09-06 11:00:00,29.28,836.83,5.91,50.23
"54",2019-09-06 17:00:00,2019-09-06 12:00:00,33.22,835.33,6.37,44.31
"55",2019-09-06 18:00:00,2019-09-06 13:00:00,29.19,834.33,6.75,45.23
"56",2019-09-06 19:00:00,2019-09-06 14:00:00,28.07,834,6.73,47.8
"57",2019-09-06 20:00:00,2019-09-06 15:00:00,25.39,834,6.7,51.65
"58",2019-09-06 21:00:00,2019-09-06 16:00:00,26.22,833.33,6.7,52.06
"59",2019-09-06 22:00:00,2019-09-06 17:00:00,23.95,834,5.92,57.73
"60",2019-09-06 23:00:00,2019-09-06 18:00:00,20.06,834.17,1.06,65.03
"61",2019-09-07 00:00:00,2019-09-06 19:00:00,19.16,835,0.02,66.69
"62",2019-09-07 01:00:00,2019-09-06 20:00:00,18.84,835.5,0.01,67.91
"63",2019-09-07 02:00:00,2019-09-06 21:00:00,18.51,836,0.01,71.27
"64",2019-09-07 03:00:00,2019-09-06 22:00:00,18.15,836.33,0.01,72.9
"65",2019-09-07 04:00:00,2019-09-06 23:00:00,17.5,836.5,0.01,76.39
"66",2019-09-07 05:00:00,2019-09-07 00:00:00,17.46,836,0.01,76.73
"67",2019-09-07 06:00:00,2019-09-07 01:00:00,16.83,835.83,0.01,79.46
"68",2019-09-07 07:00:00,2019-09-07 02:00:00,16.34,835,0.01,82.49
"69",2019-09-07 08:00:00,2019-09-07 03:00:00,16.08,835.83,0.01,83.8
