,date,LocalTime,Air.Temperature_hourly.mean,Air.Pressure_hourly.mean,Solar.Voltage_hourly.mean,Relative.Humidity_hourly.mean
1,31/08/2019 12:00,31/08/2019 07:00,24.98,1010,5.95,47.79
2,01/09/2019 17:00,01/09/2019 12:00,22.39,1020,0.53,38.87
3,04/09/2019 22:00,04/09/2019 17:00,24.04,786,0.6,57.85
4,05/09/2019 19:00,05/09/2019 14:00,33.29,846,4.05,34.5
5,05/09/2019 20:00,05/09/2019 15:00,29.94,845,5.95,39.96
6,05/09/2019 21:00,05/09/2019 16:00,26.92,845.67,5.92,44.36
7,05/09/2019 22:00,05/09/2019 17:00,24.84,846.17,5.41,48.05
8,05/09/2019 23:00,05/09/2019 18:00,23.74,847,0.94,49.05
9,06/09/2019 00:00,05/09/2019 19:00,23.46,847.5,0.06,49.29
10,06/09/2019 01:00,05/09/2019 20:00,22.35,848,0.05,52.95
11,06/09/2019 02:00,05/09/2019 21:00,22.54,848.6,0.04,52.62
12,06/09/2019 03:00,05/09/2019 22:00,21.83,849,0.04,55.17
13,06/09/2019 04:00,05/09/2019 23:00,20.97,849,0.04,58.7
14,06/09/2019 05:00,06/09/2019 00:00,20.67,849,0.03,60.99
15,06/09/2019 06:00,06/09/2019 01:00,20.11,847.83,0.04,63.71
16,06/09/2019 07:00,06/09/2019 02:00,20.23,847,0.03,64.08
17,06/09/2019 08:00,06/09/2019 03:00,19.57,847.83,0.03,69.79
18,06/09/2019 09:00,06/09/2019 04:00,19.55,847.5,0.02,71.79
19,06/09/2019 10:00,06/09/2019 05:00,19.85,848,0.26,69.96
20,06/09/2019 11:00,06/09/2019 06:00,19.39,848,5.19,70.94
21,06/09/2019 12:00,06/09/2019 07:00,16.14,843.8,5.97,75.06
22,19/11/2019 19:00,19/11/2019 14:00,30.01,845,6.87,56.66
23,19/11/2019 20:00,19/11/2019 15:00,28.1,845,6.58,58.53
24,19/11/2019 21:00,19/11/2019 16:00,23.26,845,6.64,70.39
25,19/11/2019 22:00,19/11/2019 17:00,21.58,845.17,5.15,78.71
26,19/11/2019 23:00,19/11/2019 18:00,20.28,846,0.16,82.72
27,20/11/2019 00:00,19/11/2019 19:00,19.95,846.83,0.03,81.18
28,20/11/2019 01:00,19/11/2019 20:00,18.75,847.83,0.04,90.79
29,20/11/2019 02:00,19/11/2019 21:00,17.92,848.67,0.03,95.39
30,20/11/2019 03:00,19/11/2019 22:00,17.66,849,0.03,98.47
31,20/11/2019 04:00,19/11/2019 23:00,17.51,848,0.03,99.44
32,20/11/2019 05:00,20/11/2019 00:00,17.19,848,0.02,99.34
33,20/11/2019 06:00,20/11/2019 01:00,17.14,847.83,0.03,100
34,20/11/2019 07:00,20/11/2019 02:00,17.02,847,0.02,100
35,20/11/2019 08:00,20/11/2019 03:00,17.13,847,0.03,100
36,20/11/2019 09:00,20/11/2019 04:00,17.29,847.17,0.03,100
37,20/11/2019 10:00,20/11/2019 05:00,17.25,848,1.1,100
38,20/11/2019 11:00,20/11/2019 06:00,17.65,848.33,5.87,100
39,20/11/2019 12:00,20/11/2019 07:00,19.37,849,5.99,99.32
40,20/11/2019 13:00,20/11/2019 08:00,21.48,849,5.97,92.61
41,20/11/2019 14:00,20/11/2019 09:00,21.6,849,5.97,93.17
42,20/11/2019 15:00,20/11/2019 10:00,22.71,849,5.94,90.37
43,20/11/2019 16:00,20/11/2019 11:00,23.09,848,5.95,89.47
44,20/11/2019 17:00,20/11/2019 12:00,25.5,846.83,6.23,81.06
45,20/11/2019 18:00,20/11/2019 13:00,26.49,845.83,6.72,74.14
46,20/11/2019 19:00,20/11/2019 14:00,29.18,845,6.5,66.1
47,20/11/2019 20:00,20/11/2019 15:00,27.84,844.67,6.6,68.22
48,20/11/2019 21:00,20/11/2019 16:00,23.61,845,6.72,74.46
49,20/11/2019 22:00,20/11/2019 17:00,21.31,845,5.26,80.49
50,20/11/2019 23:00,20/11/2019 18:00,20.68,846,0.1,85.9
51,21/11/2019 00:00,20/11/2019 19:00,20.42,846.5,0.05,87.94
52,21/11/2019 01:00,20/11/2019 20:00,19.96,847.33,0.04,89.32
53,21/11/2019 02:00,20/11/2019 21:00,19.1,848,0.03,90.67
54,21/11/2019 03:00,20/11/2019 22:00,18.74,848,0.03,93.2
55,21/11/2019 04:00,20/11/2019 23:00,18.18,848,0.03,93.85
56,21/11/2019 05:00,21/11/2019 00:00,18.54,847,0.04,91.97
57,21/11/2019 06:00,21/11/2019 01:00,18.26,847,0.03,93.56
58,21/11/2019 07:00,21/11/2019 02:00,17.41,846,0.02,98.79
59,21/11/2019 08:00,21/11/2019 03:00,17.66,846.17,0.02,99.66
60,21/11/2019 09:00,21/11/2019 04:00,17.84,847,0.03,98.74
61,21/11/2019 10:00,21/11/2019 05:00,17.71,847,1.44,97.65
62,21/11/2019 11:00,21/11/2019 06:00,18.02,847.83,5.59,98.69
63,21/11/2019 12:00,21/11/2019 07:00,20.34,848.67,5.97,93
64,21/11/2019 13:00,21/11/2019 08:00,23.46,849,5.99,84.56
65,21/11/2019 14:00,21/11/2019 09:00,24.51,849,5.94,81.69
66,21/11/2019 15:00,21/11/2019 10:00,28.15,848.33,6.32,68.29
67,21/11/2019 16:00,21/11/2019 11:00,25.54,847.33,6.9,75.64
68,21/11/2019 17:00,21/11/2019 12:00,26.7,846.17,6.66,73.59
69,21/11/2019 18:00,21/11/2019 13:00,25.57,845,6.64,73.97
70,21/11/2019 19:00,21/11/2019 14:00,25.68,844.67,6.85,71.68
71,21/11/2019 20:00,21/11/2019 15:00,24.99,844,6.84,73.27
72,21/11/2019 21:00,21/11/2019 16:00,23.27,844,6.73,73.89
73,21/11/2019 22:00,21/11/2019 17:00,21.36,844.33,4.55,75.25
74,21/11/2019 23:00,21/11/2019 18:00,20,845.5,0.06,84.71
75,22/11/2019 00:00,21/11/2019 19:00,19.62,846.17,0.03,86.91
76,22/11/2019 01:00,21/11/2019 20:00,19.06,847,0.03,90.59
77,22/11/2019 02:00,21/11/2019 21:00,19.03,847.5,0.03,90.38
78,22/11/2019 03:00,21/11/2019 22:00,17.69,848,0.04,98.22
79,22/11/2019 04:00,21/11/2019 23:00,16.52,848,0.03,100
80,22/11/2019 05:00,22/11/2019 00:00,16.11,848,0.03,99.92
81,22/11/2019 06:00,22/11/2019 01:00,15.75,847,0.03,100
82,22/11/2019 07:00,22/11/2019 02:00,15.93,847,0.03,100
83,22/11/2019 08:00,22/11/2019 03:00,15.83,846.83,0.03,100
84,22/11/2019 09:00,22/11/2019 04:00,15.68,847,0.03,99.88
85,22/11/2019 10:00,22/11/2019 05:00,15.76,847.33,1.43,100
86,22/11/2019 11:00,22/11/2019 06:00,16.56,848.17,5.86,100
87,22/11/2019 12:00,22/11/2019 07:00,18.55,849,4.95,98.05
88,22/11/2019 13:00,22/11/2019 08:00,25.34,849,6.63,78.02
89,22/11/2019 14:00,22/11/2019 09:00,25.56,849,6.59,77.86
90,22/11/2019 15:00,22/11/2019 10:00,23.92,849,6.88,84.31
91,22/11/2019 16:00,22/11/2019 11:00,23.59,847.83,6.87,83.44
92,22/11/2019 17:00,22/11/2019 12:00,27.19,846.83,6.62,72.03
93,22/11/2019 18:00,22/11/2019 13:00,27.24,845.5,6.71,69.47
94,22/11/2019 19:00,22/11/2019 14:00,29.47,844.33,6.61,58.81
95,22/11/2019 20:00,22/11/2019 15:00,24.13,844,6.8,71.04
96,22/11/2019 21:00,22/11/2019 16:00,22.28,844.33,5.98,77.59
97,22/11/2019 22:00,22/11/2019 17:00,20.85,845,5.05,77.76
98,22/11/2019 23:00,22/11/2019 18:00,20.49,845.17,0.13,75.56
99,23/11/2019 00:00,22/11/2019 19:00,19.83,846,0.03,81.4
100,23/11/2019 01:00,22/11/2019 20:00,18.48,847,0.03,87
101,23/11/2019 02:00,22/11/2019 21:00,18.26,847.33,0.02,90.56
102,23/11/2019 03:00,22/11/2019 22:00,17.62,847.33,0.04,93.63
103,23/11/2019 04:00,22/11/2019 23:00,16.99,847.67,0.02,96.45
104,23/11/2019 05:00,23/11/2019 00:00,16.43,847.17,0.03,98.72
105,23/11/2019 06:00,23/11/2019 01:00,15.98,846.33,0.02,95.89
106,23/11/2019 07:00,23/11/2019 02:00,15.93,846,0.02,92.58
107,23/11/2019 08:00,23/11/2019 03:00,15.56,846,0.02,92.69
108,23/11/2019 09:00,23/11/2019 04:00,15.55,845.83,0.03,89.68
