"","date","LocalTime","Air.Temperature_hourly.mean","Air.Pressure_hourly.mean","Solar.Voltage_hourly.mean","Relative.Humidity_hourly.mean"
"1",2018-04-01 00:00:00,2018-03-31 19:00:00,22.18,1030,0.97,35.36
"2",2018-04-01 01:00:00,2018-03-31 20:00:00,22.7,1032,0.97,35.14
"3",2018-04-01 02:00:00,2018-03-31 21:00:00,22.78,1032,0.98,35.64
"4",2018-04-01 03:00:00,2018-03-31 22:00:00,21.71,1032.83,0.89,36.54
"5",2018-04-01 04:00:00,2018-03-31 23:00:00,21.23,1033.67,0.84,36.35
"6",2018-04-01 05:00:00,2018-04-01 00:00:00,20.91,1034,0.81,36.27
"7",2018-04-01 06:00:00,2018-04-01 01:00:00,20.71,1034.67,0.8,36.16
"8",2018-04-01 07:00:00,2018-04-01 02:00:00,20.5,1035,0.78,36.16
"9",2018-04-01 08:00:00,2018-04-01 03:00:00,20.34,1035,0.78,36.15
"10",2018-04-01 09:00:00,2018-04-01 04:00:00,20.19,1035,0.76,36.16
"11",2018-04-01 10:00:00,2018-04-01 05:00:00,19.91,1034.67,0.74,36.25
"12",2018-04-01 11:00:00,2018-04-01 06:00:00,19.54,1034,0.71,36.53
"13",2018-04-01 12:00:00,2018-04-01 07:00:00,19.31,1034,0.7,36.64
"14",2018-04-01 13:00:00,2018-04-01 08:00:00,19.12,1034,0.69,36.69
"15",2018-04-01 14:00:00,2018-04-01 09:00:00,18.94,1034,0.67,36.81
"16",2018-04-01 15:00:00,2018-04-01 10:00:00,18.98,1034,0.68,36.5
"17",2018-04-01 16:00:00,2018-04-01 11:00:00,19.29,1034,0.7,35.95
"18",2018-04-01 17:00:00,2018-04-01 12:00:00,19.57,1034,0.71,35.62
"19",2018-04-01 18:00:00,2018-04-01 13:00:00,19.81,1034,0.74,35.41
"20",2018-04-01 19:00:00,2018-04-01 14:00:00,19.97,1034,0.75,35.34
"21",2018-04-01 20:00:00,2018-04-01 15:00:00,20.2,1033.67,0.78,35.09
"22",2018-04-01 21:00:00,2018-04-01 16:00:00,20.41,1033,0.79,35.49
"23",2018-04-01 22:00:00,2018-04-01 17:00:00,20.5,1032.83,0.8,35.69
"24",2018-04-01 23:00:00,2018-04-01 18:00:00,20.5,1032,0.79,36.4
"25",2018-04-02 00:00:00,2018-04-01 19:00:00,20.6,1032,0.8,36.9
"26",2018-04-02 01:00:00,2018-04-01 20:00:00,20.65,1032,0.8,36.86
"27",2018-04-02 02:00:00,2018-04-01 21:00:00,20.69,1032,0.8,36.95
"28",2018-04-02 03:00:00,2018-04-01 22:00:00,20.62,1032.67,0.8,37.07
"29",2018-04-02 04:00:00,2018-04-01 23:00:00,20.42,1033,0.79,37.81
"30",2018-04-02 05:00:00,2018-04-02 00:00:00,20.18,1033,0.77,37.62
"31",2018-04-02 06:00:00,2018-04-02 01:00:00,20.11,1033,0.76,37.09
"32",2018-04-02 07:00:00,2018-04-02 02:00:00,19.96,1033,0.75,37.02
"33",2018-04-02 08:00:00,2018-04-02 03:00:00,19.83,1033,0.74,37.16
"34",2018-04-02 09:00:00,2018-04-02 04:00:00,19.72,1033,0.74,37.21
"35",2018-04-02 10:00:00,2018-04-02 05:00:00,19.61,1033,0.73,36.99
"36",2018-04-02 11:00:00,2018-04-02 06:00:00,19.38,1033,0.72,37.07
"37",2018-04-02 12:00:00,2018-04-02 07:00:00,19.13,1033,0.7,37.27
"38",2018-04-02 13:00:00,2018-04-02 08:00:00,18.95,1033,0.7,37.32
"39",2018-04-02 14:00:00,2018-04-02 09:00:00,18.76,1034,0.68,37.38
"40",2018-04-02 15:00:00,2018-04-02 10:00:00,18.99,1034,0.69,36.77
"41",2018-04-02 16:00:00,2018-04-02 11:00:00,19.43,1034,0.71,36.14
"42",2018-04-02 17:00:00,2018-04-02 12:00:00,19.77,1034.5,0.74,35.96
"43",2018-04-02 18:00:00,2018-04-02 13:00:00,20,1034.67,0.75,36.38
