,date,LocalTime,Air.Temperature_hourly.mean,Air.Pressure_hourly.mean,Solar.Voltage_hourly.mean,Relative.Humidity_hourly.mean
1,01/04/2018 00:00,31/03/2018 19:00,36.48,456.18,6.68,47.7
2,01/04/2018 01:00,31/03/2018 20:00,35.77,456.67,6.74,50.54
3,01/04/2018 04:00,31/03/2018 23:00,23.68,447.67,0.02,74.5
4,01/04/2018 06:00,01/04/2018 01:00,21.67,437.83,0.01,85.04
5,01/04/2018 07:00,01/04/2018 02:00,21.45,444.83,0.01,81.34
6,01/04/2018 08:00,01/04/2018 03:00,21.85,445,0,79.92
7,31/08/2019 09:00,31/08/2019 04:00,23.45,1011,0.6,56.36
8,31/08/2019 10:00,31/08/2019 05:00,23.38,1011,0.43,56.14
9,01/09/2019 17:00,01/09/2019 12:00,22.23,1019,0.55,39.6
10,05/09/2019 22:00,05/09/2019 17:00,24.27,787,0.64,47.68
11,06/09/2019 20:00,06/09/2019 15:00,31.9,869,5.21,39.72
12,06/09/2019 21:00,06/09/2019 16:00,28.86,869,5.97,43.71
13,06/09/2019 22:00,06/09/2019 17:00,26.4,869,5.4,47.08
14,06/09/2019 23:00,06/09/2019 18:00,24.12,870,0.19,51.96
15,07/09/2019 00:00,06/09/2019 19:00,23.21,870.33,0.02,55.69
16,07/09/2019 01:00,06/09/2019 20:00,23.19,871.33,0.02,58.21
17,07/09/2019 02:00,06/09/2019 21:00,22.62,872,0.02,60.94
18,07/09/2019 03:00,06/09/2019 22:00,21.9,872,0.01,63.13
19,07/09/2019 04:00,06/09/2019 23:00,21.25,872,0.01,65.11
20,07/09/2019 05:00,07/09/2019 00:00,21.01,872,0.01,66.07
21,07/09/2019 06:00,07/09/2019 01:00,20.35,872,0.01,69.27
22,07/09/2019 07:00,07/09/2019 02:00,19.75,871,0.01,72.75
23,07/09/2019 08:00,07/09/2019 03:00,19.36,871.33,0,75.04
24,07/09/2019 09:00,07/09/2019 04:00,19.27,871.33,0,76.11
25,07/09/2019 10:00,07/09/2019 05:00,18.34,872,0.89,79.99
26,07/09/2019 11:00,07/09/2019 06:00,18.53,872.17,5.38,80.18
27,07/09/2019 12:00,07/09/2019 07:00,19.2,873,5.97,79.14
28,07/09/2019 13:00,07/09/2019 08:00,24.23,873,6.06,66.42
29,07/09/2019 14:00,07/09/2019 09:00,28.88,872.83,6.78,52.62
30,07/09/2019 15:00,07/09/2019 10:00,31.91,872,6.61,45.19
31,07/09/2019 16:00,07/09/2019 11:00,35.79,871.33,6.54,35.58
32,07/09/2019 17:00,07/09/2019 12:00,37.93,869.6,6.55,31.91
33,07/09/2019 18:00,07/09/2019 13:00,36.35,868.67,6.57,30.81
34,07/09/2019 19:00,07/09/2019 14:00,37.73,868,6.41,28.39
35,07/09/2019 20:00,07/09/2019 15:00,38.84,867,6.34,26.4
36,07/09/2019 21:00,07/09/2019 16:00,36.11,867,6.5,28.52
37,07/09/2019 22:00,07/09/2019 17:00,30.26,867.33,5.62,34.57
38,07/09/2019 23:00,07/09/2019 18:00,27.59,868.2,0.23,42.71
39,08/09/2019 00:00,07/09/2019 19:00,26.77,869,0.03,45.53
40,08/09/2019 01:00,07/09/2019 20:00,25.43,870,0.03,42.41
41,08/09/2019 02:00,07/09/2019 21:00,24.64,871,0.02,45.79
42,08/09/2019 03:00,07/09/2019 22:00,24.12,872,0.02,53.89
43,08/09/2019 04:00,07/09/2019 23:00,23.81,872,0.01,56.77
44,08/09/2019 05:00,08/09/2019 00:00,23.36,872,0.02,58.02
45,08/09/2019 06:00,08/09/2019 01:00,22.31,872,0.01,61
46,08/09/2019 07:00,08/09/2019 02:00,21.55,871.67,0.02,62.29
47,08/09/2019 08:00,08/09/2019 03:00,21.42,872,0.02,64.23
48,08/09/2019 09:00,08/09/2019 04:00,21.37,872,0.01,65.5
49,08/09/2019 10:00,08/09/2019 05:00,21.04,872.33,0.84,64.5
50,08/09/2019 11:00,08/09/2019 06:00,20.69,873.33,5.91,66.94
51,08/09/2019 12:00,08/09/2019 07:00,21.74,874,6.72,63.7
52,08/09/2019 13:00,08/09/2019 08:00,25.27,874,6.86,57.11
53,08/09/2019 14:00,08/09/2019 09:00,28.43,874,6.83,49.87
54,08/09/2019 15:00,08/09/2019 10:00,31.61,873.67,6.71,42.06
55,08/09/2019 16:00,08/09/2019 11:00,32.41,872.4,6.75,39.16
56,08/09/2019 17:00,08/09/2019 12:00,35.06,871.33,6.63,30.89
57,08/09/2019 18:00,08/09/2019 13:00,38.1,870.2,6.44,24.52
58,08/09/2019 19:00,08/09/2019 14:00,36.83,869,6.47,23.35
59,08/09/2019 20:00,08/09/2019 15:00,38.26,868.67,6.62,22.93
60,08/09/2019 21:00,08/09/2019 16:00,35.08,868,6.44,26.19
61,08/09/2019 22:00,08/09/2019 17:00,29.07,868.2,5.26,32.46
62,08/09/2019 23:00,08/09/2019 18:00,26.66,869.17,0.95,35.55
63,09/09/2019 00:00,08/09/2019 19:00,25.61,870.33,0.03,39.42
64,09/09/2019 01:00,08/09/2019 20:00,24.93,871,0.03,43.64
65,09/09/2019 02:00,08/09/2019 21:00,24.34,871.67,0.02,46.95
66,09/09/2019 03:00,08/09/2019 22:00,23.95,872,0.02,46.2
67,09/09/2019 04:00,08/09/2019 23:00,22.69,872,0.02,50.81
68,09/09/2019 05:00,09/09/2019 00:00,22.04,871.5,0.02,53.47
69,09/09/2019 06:00,09/09/2019 01:00,20.77,871,0.01,60.06
70,09/09/2019 07:00,09/09/2019 02:00,20.43,871,0.01,62.32
71,09/09/2019 08:00,09/09/2019 03:00,19.67,871,0.01,66.24
72,09/09/2019 09:00,09/09/2019 04:00,19.24,871.17,0.01,71.6
73,09/09/2019 10:00,09/09/2019 05:00,19.39,871,0.8,73
74,09/09/2019 11:00,09/09/2019 06:00,19.42,872,5.59,73.81
75,09/09/2019 12:00,09/09/2019 07:00,20.2,872.67,6.37,73.38
76,09/09/2019 13:00,09/09/2019 08:00,25.05,873,6.82,61.11
77,09/09/2019 14:00,09/09/2019 09:00,29.12,873,6.73,49.33
78,09/09/2019 15:00,09/09/2019 10:00,32.13,873,6.65,40.6
79,09/09/2019 16:00,09/09/2019 11:00,35.01,872.17,6.54,32.33
80,09/09/2019 17:00,09/09/2019 12:00,36.22,871,6.64,31.01
81,09/09/2019 18:00,09/09/2019 13:00,37.59,869.5,6.46,26.55
82,09/09/2019 19:00,09/09/2019 14:00,35.08,868.8,6.51,31.13
83,09/09/2019 20:00,09/09/2019 15:00,36.2,868,6.54,29.79
84,09/09/2019 21:00,09/09/2019 16:00,35.15,868,6.42,29.54
85,09/09/2019 22:00,09/09/2019 17:00,29.57,868.33,5.12,36.92
86,09/09/2019 23:00,09/09/2019 18:00,27.01,869,1.1,41.47
87,10/09/2019 00:00,09/09/2019 19:00,26.05,869.83,0.04,39.28
88,10/09/2019 01:00,09/09/2019 20:00,24.8,870.5,0.03,43.91
89,10/09/2019 02:00,09/09/2019 21:00,24.02,871.33,0.04,47.43
90,10/09/2019 03:00,09/09/2019 22:00,23.54,872,0.03,51.93
91,10/09/2019 04:00,09/09/2019 23:00,22.62,872,0.02,55.29
92,10/09/2019 05:00,10/09/2019 00:00,22.55,871.5,0.02,58.26
93,10/09/2019 06:00,10/09/2019 01:00,22.5,871,0.01,61.4
94,10/09/2019 07:00,10/09/2019 02:00,22.32,870.67,0.02,64.96
95,10/09/2019 08:00,10/09/2019 03:00,21.23,870.83,0.01,70.03
96,10/09/2019 09:00,10/09/2019 04:00,20.86,871.33,0.01,73.43
97,10/09/2019 10:00,10/09/2019 05:00,20.57,872,1.08,74.45
98,10/09/2019 11:00,10/09/2019 06:00,20.36,872,5.53,76.77
99,10/09/2019 12:00,10/09/2019 07:00,20.84,872,6.29,74.2
100,10/09/2019 13:00,10/09/2019 08:00,25.96,872.67,6.75,61.58
101,10/09/2019 14:00,10/09/2019 09:00,29.24,873,6.74,52.05
102,10/09/2019 15:00,10/09/2019 10:00,33.12,871.83,6.6,40.96
103,10/09/2019 16:00,10/09/2019 11:00,36.32,870.8,6.47,34.28
104,10/09/2019 17:00,10/09/2019 12:00,39.31,869.67,6.52,25.63
105,10/09/2019 18:00,10/09/2019 13:00,37.3,868.33,6.52,24.89
106,10/09/2019 19:00,10/09/2019 14:00,35.76,867.67,6.65,24.92
107,10/09/2019 20:00,10/09/2019 15:00,38.85,867,6.56,21.63
108,10/09/2019 21:00,10/09/2019 16:00,37.96,866,6.55,23.41
109,10/09/2019 22:00,10/09/2019 17:00,31.9,866.2,6.08,30.95
110,10/09/2019 23:00,10/09/2019 18:00,28.57,867,1.07,39.22
111,11/09/2019 00:00,10/09/2019 19:00,26.76,868.33,0.02,44.74
112,11/09/2019 01:00,10/09/2019 20:00,25.82,869.5,0.04,48.86
113,11/09/2019 02:00,10/09/2019 21:00,25.83,870.5,0.03,49.57
114,11/09/2019 03:00,10/09/2019 22:00,25.18,871,0.02,52.04
115,11/09/2019 04:00,10/09/2019 23:00,24.16,871,0.01,58.12
116,11/09/2019 05:00,11/09/2019 00:00,22.19,871,0.01,67.24
117,11/09/2019 06:00,11/09/2019 01:00,21.56,871,0.01,71.01
118,11/09/2019 07:00,11/09/2019 02:00,20.04,870.67,0.01,81.16
119,11/09/2019 08:00,11/09/2019 03:00,19.02,870.83,0.01,87.68
120,11/09/2019 09:00,11/09/2019 04:00,18.63,870.5,0.01,88.19
121,11/09/2019 10:00,11/09/2019 05:00,18.42,871,0.67,90.7
122,11/09/2019 11:00,11/09/2019 06:00,18.62,871,5.47,88.59
123,11/09/2019 12:00,11/09/2019 07:00,19.67,871.33,6.58,86.48
124,11/09/2019 13:00,11/09/2019 08:00,21.89,872,6.66,83.2
125,11/09/2019 14:00,11/09/2019 09:00,26.61,872,6.8,66.62
126,11/09/2019 15:00,11/09/2019 10:00,30.96,870.67,6.63,52.93
127,11/09/2019 16:00,11/09/2019 11:00,34.67,869.33,6.56,42.76
128,11/09/2019 17:00,11/09/2019 12:00,37.13,868,6.51,35.27
129,11/09/2019 18:00,11/09/2019 13:00,37.45,866.8,6.55,32.77
130,11/09/2019 19:00,11/09/2019 14:00,33.69,866,6.54,36.7
131,11/09/2019 20:00,11/09/2019 15:00,31.34,865.5,6.58,42.56
132,11/09/2019 21:00,11/09/2019 16:00,32.98,865,6.16,38.02
133,11/09/2019 22:00,11/09/2019 17:00,24.03,866,3.99,64.19
134,11/09/2019 23:00,11/09/2019 18:00,21.03,867.5,0.23,77.86
135,12/09/2019 00:00,11/09/2019 19:00,20.89,868,0.02,81.06
136,12/09/2019 01:00,11/09/2019 20:00,21.52,868.67,0.02,78.11
137,12/09/2019 02:00,11/09/2019 21:00,23.08,869.67,0.02,70.69
138,12/09/2019 03:00,11/09/2019 22:00,22.69,870,0.02,73.24
139,12/09/2019 04:00,11/09/2019 23:00,22.26,870,0.02,75.99
140,12/09/2019 05:00,12/09/2019 00:00,20.78,870,0.01,84.39
141,12/09/2019 06:00,12/09/2019 01:00,19.52,870,0.01,91.26
142,12/09/2019 07:00,12/09/2019 02:00,19.28,870,0.01,95.2
