"","date","LocalTime","Air.Temperature_hourly.mean","Air.Pressure_hourly.mean","Solar.Voltage_hourly.mean","Relative.Humidity_hourly.mean"
"1",2019-01-08 19:00:00,2019-01-08 14:00:00,25.56,1026,1.66,45.13
"2",2019-04-12 16:00:00,2019-04-12 11:00:00,22.22,1026,1,34.56
"3",2019-04-12 17:00:00,2019-04-12 12:00:00,21.8,1026,0.93,33.97
"4",2019-04-12 18:00:00,2019-04-12 13:00:00,21.3,1026.17,0.89,33.18
"5",2019-04-12 19:00:00,2019-04-12 14:00:00,21.02,1027,0.87,32.94
"6",2019-04-12 20:00:00,2019-04-12 15:00:00,20.84,1027,0.85,32.73
"7",2019-04-12 21:00:00,2019-04-12 16:00:00,20.69,1027,0.84,32.66
"8",2019-04-12 22:00:00,2019-04-12 17:00:00,20.54,1027,0.83,32.74
"9",2019-04-12 23:00:00,2019-04-12 18:00:00,20.43,1027,0.82,32.84
"10",2019-04-13 00:00:00,2019-04-12 19:00:00,20.27,1027,0.81,32.89
"11",2019-04-13 01:00:00,2019-04-12 20:00:00,20.05,1027.17,0.8,33
"12",2019-04-13 02:00:00,2019-04-12 21:00:00,19.84,1027.17,0.78,32.92
"13",2019-04-13 03:00:00,2019-04-12 22:00:00,19.63,1027,0.77,32.84
"14",2019-04-13 04:00:00,2019-04-12 23:00:00,19.4,1027,0.75,32.84
"15",2019-04-13 05:00:00,2019-04-13 00:00:00,19.21,1027.67,0.74,32.78
"16",2019-04-13 06:00:00,2019-04-13 01:00:00,19.26,1028,0.75,32.6
"17",2019-04-13 07:00:00,2019-04-13 02:00:00,19.44,1028,0.76,32.44
"18",2019-04-13 08:00:00,2019-04-13 03:00:00,19.54,1028,0.76,32.38
"19",2019-04-13 09:00:00,2019-04-13 04:00:00,19.58,1028,0.76,32.39
"20",2019-04-13 10:00:00,2019-04-13 05:00:00,19.62,1027.2,0.77,32.39
"21",2019-04-13 11:00:00,2019-04-13 06:00:00,19.62,1027.67,0.77,32.72
"22",2019-04-13 12:00:00,2019-04-13 07:00:00,19.78,1027.17,0.79,32.71
"23",2019-04-13 13:00:00,2019-04-13 08:00:00,19.81,1027.83,0.78,32.63
"24",2019-04-13 14:00:00,2019-04-13 09:00:00,19.66,1027,0.76,32.54
"25",2019-04-13 15:00:00,2019-04-13 10:00:00,19.57,1026,0.77,32.2
"26",2019-04-13 16:00:00,2019-04-13 11:00:00,19.59,1026,0.77,32.04
"27",2019-04-13 17:00:00,2019-04-13 12:00:00,19.77,1026,0.78,31.89
"28",2019-04-13 18:00:00,2019-04-13 13:00:00,19.81,1026,0.78,31.79
"29",2019-04-13 19:00:00,2019-04-13 14:00:00,19.81,1026.67,0.77,31.65
"30",2019-04-13 20:00:00,2019-04-13 15:00:00,19.76,1027,0.77,31.6
"31",2019-04-13 21:00:00,2019-04-13 16:00:00,19.64,1026.33,0.76,31.48
"32",2019-04-13 22:00:00,2019-04-13 17:00:00,19.5,1026,0.75,31.48
"33",2019-04-13 23:00:00,2019-04-13 18:00:00,19.4,1026,0.75,31.39
"34",2019-04-14 00:00:00,2019-04-13 19:00:00,19.29,1026,0.73,31.38
